date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:21	1337/1337	---M-Z	404	error ('Not%20Found')	text/html	etag:1750178459-ssl-df	https://gameforherbycodewithvansh.netlify.app/robots.txt		(from )
17:15:21	27038/27038	---M-Z	200	added ('OK')	text/html	etag:%222510a1d216b5480e3e938cb3603113ed-ssl-df%22	https://gameforherbycodewithvansh.netlify.app/	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/index.html	(from )
17:15:21	18452/18452	---MCZ	200	added ('OK')	text/css	etag:W/%224814-hHDqSJ4WY3k8OYupOVR3YIFWMjI%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:22	9770/9770	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:18:30%20GMT	https://unpkg.com/typeit@8.7.0/dist/index.umd.js	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/unpkg.com/typeit@8.7.0/dist/index.umd.js	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:22	137298/137298	---M--	200	added ('OK')	image/jpeg	etag:%22fcb8df87e725b8e57b973450966bb4d4-ssl%22	https://gameforherbycodewithvansh.netlify.app/assets/pict.jpg	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/assets/pict.jpg	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:23	55654/55654	---M--	200	added ('OK')	image/gif	etag:%226362cb7fd8f9d0ae0346dae0e482deae-ssl%22	https://gameforherbycodewithvansh.netlify.app/assets/pusn.gif	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/assets/pusn.gif	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:24	116020/116020	---M--	200	added ('OK')	image/gif	etag:%22a9482e7a4716ef265c881c47ac6590db-ssl%22	https://gameforherbycodewithvansh.netlify.app/assets/weee.gif	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/assets/weee.gif	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:24	70288/70288	---M--	200	added ('OK')	image/gif	etag:%22966d6d122b5e3d79989daaa4795447bc-ssl%22	https://gameforherbycodewithvansh.netlify.app/assets/pandapanah.gif	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/assets/pandapanah.gif	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:25	85359/85359	---M--	200	added ('OK')	image/gif	etag:%228ea2bce0d20742af1466eb608c1acdcb-ssl%22	https://gameforherbycodewithvansh.netlify.app/assets/cilukba.gif	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/assets/cilukba.gif	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:25	62118/62118	---M--	200	added ('OK')	image/gif	etag:%222ebf445fe664c3022249de8e4c20d928-ssl%22	https://gameforherbycodewithvansh.netlify.app/assets/emawh.gif	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/gameforherbycodewithvansh.netlify.app/assets/emawh.gif	(from https://gameforherbycodewithvansh.netlify.app/)
17:15:25	154087/154087	---MCZ	200	added ('OK')	application/javascript	etag:W/%22259e7-TvoyaVmN6tbfdw7zqw6MQSkyTCM%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	C:/Users/DELL/Desktop/My%20Website1/For%20Miss%20Saxenaaaa/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	(from https://gameforherbycodewithvansh.netlify.app/)
